绑工资卡可以分期吗,绑可以分期
怎么查到这个颜色对不上呢,怎么查到这个颜色对不上
小小的屏幕膜你们怎么不送个唉,屏幕膜不送个唉
能弄就帮我好啦,能弄就帮好
屏幕是65,屏幕是65
什么小米粉卡,什么小米粉卡
那个是什么东西,那个是什么东西
我以为送的那个茶水杯,我以为茶水杯
我买的那个碎屏险过了时间没有激活怎么办,没有激活怎么办
你那个套餐不要的话就选官方标配就好了对吧,就选官方标配就好对
我朋友帮我付钱,朋友帮付钱
礼品要吃鸡神器,要吃鸡神器
不需要我手机屏就没有坏过只要你们质量没问提,不需要就没有坏
这款手表如何领取方糖,如何领取方糖
我不要其他礼品只要一台方糖,我不要其他礼品
那就是矿区,那就是矿区
今天下单有啥优惠没,今天下单有啥优惠没
我看了是十种赠品送两种吗,我看是赠品送两种
扫地机是哪种呀,扫地机是哪种
其他都是套餐里就有赠送的是吧,都是就有赠送是
6128的分辨率是多少,分辨率是多少
都送什么东西呢,都送什么东西
后面的看不清哦还是后面的都送啊,看不清哦都送
还是没看明白,还是没看明白
那我买标配送126礼包是这样的吗,我买标礼包是这样
十选二也包括在内对吧,十选二也包括对
这款绿屏的问题解决了没,问题解决没
现在是之前的库存还是,现在是库存还是
极光的怎么比其他的贵一百呢,怎么比贵一百
那我拍标配的十选二备注一下126需要备注吗,我拍标十选126需要备注
我不需要备注付款后直接跟你说对吧,不需要说对
加购物车的时候拍成其他家了,时候拍成其他家
那个目前退不了怎么办,目前退不了怎么办
我看你们的评论有出现绿屏你们怎么解决呢,我看评论有出现绿屏
不能用信用卡吗,不能用信用卡
他那个店要过了双十二才可以退还花呗,要过双十二可以退还花呗
添加信用卡的日期忘记了一会添加了在付款可以吧,日期忘记一会添加
126样东西帮我发一下我看看都包括哪26样,东西帮发一下
延保两年是你们店里还是全国,年是你们店里还是全国
一年是全国联保第二年有什么问题就可以过去你们店里是吗,一年是年有什么问题
那发过来有单据保两年吗,发过来有单据保两年
手环是什么样的,手环是什么样
麻烦修改地址,麻烦修改地址
套餐区别请告知,区别请告知
套餐有的贵100区别在哪图片没有标识,100区别图片没有标识
官方套餐和78套餐有什么不同礼品,有不同礼品
我看了下是减两百不是三百啊,我看下是减两百不是三百
官方套餐可以用顺丰快递吗,可以用顺丰快递
发票要带着啊不然以后去华为店铺没办法修,要带着以后去华为店铺没办法修
客服亲在么,客服亲在么
你好我想问下现在买畅享max64G版棕色的是送天猫精灵吗,是送猫精灵
我现在再去抽个奖哈,去抽个奖哈
MM你帮我备注下要天猫精灵哈最好给发个红色的3Q,你帮最好给发3Q
这个是全网通吧不是移动订制版吧,这个是全网通不是订制版
好滴我去下单了这是第二次在君问家买啦,好滴我去下单这是买
都对o赠品要天猫精灵MM请备注好,MM请备注好
8祝生意兴隆,8祝生意兴隆
没有花呗怎么办分期,没有花呗怎么办分期
我想买个双卡双待的华为手机,我想买华为手机
价格不是太贵,价格不是太贵
苹果6splus保证正品吗,6splus保证正品
都有送什么东西啊,都有送什么东西
那不是送吃鸡工具保温杯,那不是送工具保温杯
送的东西选几个,东西选几个
吃鸡工具是哪一种的,工具是一种
旧机怎么回收我这里有个5s闲着,怎么回收这里有s闲着
那个评估是闲鱼做的跟你们没关系是吧,评估是没关系是
那我下单如果坏了是不是所有售后都可以修,我下单如果坏是不是可以修
手机屏幕碎了能保修吗,屏幕碎能保修
我点错了点成修改了,我点错点成修改
老顾客没有点优惠吗,老顾客没有点优惠
一会给我留给50元优惠券,留给元优惠券
我这都没有买的心情了,都没有心情
多送点实惠赠品安慰我这颗受伤的小心灵,多送实惠赠品安慰小心灵
为什么不要呢,为什么不要
礼品都有些什么,都有些什么
马上就要过12点了少我就付款了,就要过12点就付款
礼品什么都不要能少100吗只用分期,能少100只用分期
数量选成300,数量选成300
这是国行机子吗,这是国行机子
那为什么只能移动联通的,只能移动联通
大概什么时候可以收到货,可以收到货
地址改一下吧,地址改一下
湖北省天门市侨乡开发区西湖路266号碧水源c栋2603,c栋2603
我想加50买小天鹅蓝牙音响,我想加50
再帮我定制个手机壳吧,再帮定制个手机壳
那个小天鹅啊,那个小天鹅
我买错啦我想note5结果买成了plus,我买错我想结果买成plus
能退款重买么,能退款重买
麻烦帮我备注今天不要发货谢谢,麻烦帮我备注不要发货谢谢
你是希望我手机摔坏吧,你是希望手机摔坏
你好不分期可以使用信用卡的吧,可以使用信用卡
你家手机是官换机吗,手机是官换机
那我是不是1349元就买到华为max吗,我是不是1349元就买到华为max
提交后价格不是888元吗,价格不是888元
我刚刚提交订单,刚刚提交订单
你的礼包有什么,礼包有什么
IPHONEXS,IPHONEXS
可不可以优惠点,可以优惠点
套餐里的蓝牙小音箱可以放在车里接电话吗,可以放在车里接电话
我看详情描述里有免提通话功能呀,我看详情里有免提通话功能
那连接上蓝牙以后放在车里接电话不行吗,以后放在车里接电话不行
这个是可以分期付款的吗,这个是可以分期付款
哦能优惠活动吗,能优惠活动
这个还有优惠吗,这个还有优惠
那个分期付款额度不足怎么弄,额度不足怎么弄
没事只要不是你们的问题都没事,没事只要不是问题都没事
这个有东西送吗,这个有东西送
可以送充电底座吗,可以送充电底座
我需要怎么拍,我需要怎么拍
那价格是不是一样的,价格是不是一样
总不能一个小时都坚持不了吧,都坚持不了
那如果带出去玩的话充电宝能充电吗,如果带出去玩能充电
我买的这个你帮着看下是不是16不是16T对吧,我买你帮看下
亲可以多送个钢化膜么,多送钢化膜
官方标配和套餐啥区别,官方标配和套餐啥区别
我看套餐还加送东西,我看套餐还加送东西
嗷我看懂了官方标配送扫地机器人是吧,嗷我看懂机器人是
怎么购物津贴领了没减90啊,津贴领没减90
我知道了用积分换,我知道用积分换
要送黑色表带,要送黑色表带
扫地机器人有送吧,机器人有送
嗯今天发货不,今天发货不
我买64g的,我买64g
别给我坏耳机,别给坏耳机
我看你的店铺评论好多说耳机坏的,我看店铺评论
我刚才看了评分有点低我还是要去验一下机,刚才看有点低
真的不好意思,真的不好意思
哎其实你们这还便宜350,还便宜350
她直接跑去专卖店买了你店我关注下次我换的时候找你卖,直接跑去专卖店买了你店我关注时候找你卖
6s是全新未激活国行吗,6s是国行
我想问一下这款是全国联保的么,我想问一下这款是全国联保么
官方配置都是有些什么呢,都是有些什么
购买时选择套餐8么,时选择套餐
那不多送个无线充电器嘛,多送无线充电器
对了这个手机是全网通的吗,手机是全网通
你这款是美版还是国行,这款是美版还是国行
我需要全网通的,我需要全网通
不好意思看错了,不好意思看错
保证是正品吗,保证是正品
这个订单关闭重拍,订单关闭重拍
把我的订单关了我重拍,关了我重拍
刚十点就下架了根本没让抢,就下架根本没让
手机壳换购呢,手机壳换购
青春版的手机壳加3块是什么材质的,是什么材质
改下价3元手机壳和方糖,改下价元手机壳
手机壳按39拍俩,手机壳按39拍俩
我想卖俩个手机壳都可以按照3和9的发现吗,我想卖个手机壳发现
怎么2768,怎么2768
那就是2888,那就是2888
我确认一下到手价格,我确认一下到手价格
帮忙处理一下,帮忙处理一下
分期不要礼品剪50,礼品剪50
你好我想问一下,你好我想问一下
8p256G的花呗分期的话需要多少,花呗分期需要多少
额度需要多少,额度需要多少
你帮我快点发货谢谢你,你帮快点发货
要是真坏了我就直接换手机了,要是真坏直接换手机
怎么找不到,怎么找不到
这个耳机能同时链接电脑和手机吗,同时链接电脑
赠品12选3需要备注么,12选3需要备注
上午看你家还是12期免息现在成3期了打算看别家了不好意思,上午看现在成3期打算看别家不好意思
怎么拍可以少,怎么拍可以少
先还点等下付款,先还下付款
津贴双十二支持满300减30吗,十二支持满300减30
咨询减20,咨询减20
亲尽量给我邮寄邮政快递哦,邮寄快递哦
都有啥礼包啊,都有啥礼包
碎屏保不是都有的吗,碎屏保不是都有的
顺丰到不了我家,顺丰到不了我家
要是转寄能到吗,要是转寄能到
转寄能到就可以,转寄能到就可以
那怎么样划算呢,怎么样划算
官方标配咨询客服有什么优惠啊,官方标配咨询客服有什么优惠
这个我要买20件怎么拍限购了,要买20件怎么拍限购
之前在你家买过16套效果很好本来以为双十二会优惠结果限购了,买套效果本来以为会优惠
还可以按119一套给我吧我要运动双肩包套餐的,要运动双肩包套餐
明天价格就没有优惠价了啊,就没有优惠价
哎没想到双十二比平时还贵太坑了早知道就上周价格没变的时候买了,哎没想到还贵太坑早知道时候买了
那明天就没有优惠了啊,就没有优惠
能不能明天买还按照119的价格一套返差价啊,明天买一套返差价
今天限购只能拍三个,今天限购只能拍三个
明天结束了还需要再买17个能不能按119价格给我,明天结束还需要再买给我
昨天晚上的客服让我今天白天来咨询的,客服让来咨询
我月初在你家买过16个感觉不错也都好评了本以为双十二有活动所以本来应该再买20个但是居然限购了,买个感觉不错都好评本以为双十二有活动
所以昨天晚上客服说让我今天早上再来问,客服说让再来问
我现在被限购只能买3个,被限购只能买3个
我为了买这个这两天还凑了积分弄满减津贴的,还凑积分弄满减津贴
结果优惠用不了太气人了,优惠用不了太气人
那咋么办我又不是黄牛,么办又不是黄牛
那我明天买优惠帮我申请下总可以吧,明天买优惠帮总可以
之前买的双肩包淘宝119一套我再买17套今天拍的3个用了津贴G价格平均下来也是119,双肩包淘宝我再买个用平均下来也是119
好的您是哪个客服是主管吗,您是客服是主管
能不能今天就帮我申请一下呢这样我今天0点就开始购买了,就帮申请一下就开始购买
我可以不开发票这一批是买了自己过圣诞节送亲戚朋友的希望能帮我争取一下,批是能帮争取一下
真的是等了10几天就为了双十二优惠结果还不能买真是气死了希望能理解下我的心情如果不是限购今天就直接可以买了,真的是等10几天
而且真的没想到双十二的时候会比平时还贵确定能申请是吧我明天再来您是哪个客服啊如果找别人我还得再重新把问题描述一遍,贵确定能申请是您是哪个客服如果找别人描述一遍
好的那您帮我记录一下按119价格给我我买17套谢谢啦,您帮记录一下
今天津贴都是足够的要是没有限购也不用麻烦你们了太感谢了,都是要是没有限购
好的那我就明天来吧到时候帮我申请优惠价,到时候帮申请优惠价
我今天拍了三个是357,今天拍个是357
划下来119一个明天再买17个,划明天再买17个
你们之前说可以德,之前说可以德
没有降价呢没有降价呢,没有没有降价
支付宝分期,支付宝分期
就想问问如何免息,就想问问如何免息
不需要了噢谢谢噢,不需要噢谢谢噢
老板64G到手价728起有优惠券,起有优惠券
如果售后遇到质量问题怎么办呢,售后遇到质量问题怎么办
你好有机打发货票啊,你好有机打发货票
今天买什么时候能到浙江温州,时候能到浙江温州
我是浙江温州这,我是温州这
大小有什么区别,大小有什么区别
你们售后在哪,你们售后在哪
6128G黑色nova,黑色nova
今天还有活动部,今天还有活动部
不要礼品不分期点减100元,点减100元
我现在下单畅享MAX4十64G用花呗分期付款后收货后返现100元对吗,下单畅享后返现元对
用花呗付款不分期就可以吧,呗付款就可以
不分期不要礼品等返现100元,返现100元
我就是问你6458的是苹果什么款,就是问是什么款
花呗分期怎么不能买,花呗不能买
我昨天晚上下单了一部华为p20,昨天晚上下单华为p20
你们发货的时候我可以选择不要礼品,可以选择不要礼品
我刚问的问题你回答一下,你回答一下
320是收货了返现吗,320是收货
今天不能退款恶心的淘宝拿去吹今天的交易额,不能退款淘宝拿去吹交易额
iPhoneXmax256的现在有什么优惠,现在有什么优惠
两个电话都不要礼品,都不要礼品
在你家买了3电话了,买了3电话
也没有红包,也没有红包
我老公前几个月刚给我婆婆在你家买的电话,刚给婆婆电话
不需要了钱包空了,不需要钱包空
100话费卡是移动的还是联通的,话费卡是移动还是联通
前置摄像头是多少阿,摄像头是多少阿
亲4大64G内存有扩展吗能扩展多少,内存有扩展
来图定制手机壳怎么弄三块钱,来定制块钱
怎么最低是19块不是三块吗,最低是块不是三块
这个怎么便宜200的,怎么便宜200
这是正品全新的吧,这是正品全新
人工客服出来,人工客服出来
这手机是全新正品行货非合约吗,手机是非合约
又去看孩子了,又去看孩子
你到底有几个孩子需要看,到底有需要看
你好想咨询下这手机,你好想咨询下这手机
今天双12想买个标配的,12想买个标配
哇哦礼品很贴心不错,很贴心不错
流量卡是怎么送,卡是怎么送
下单了礼品选保温杯,下单礼品选保温杯
不用正版机屏幕没有那么脆弱,屏幕没有那么脆弱
我想知道哪个版本是什么时候生产的机子,我想知道版本是机子
这个有什么优惠,这个有什么优惠
咨询客服更优惠是什么,优惠是什么
今天是1212有优惠促销活动吗,今天是1212有促销活动
有价格优惠吗我在网上对比找个方方面面合适店家下单谢谢,优惠吗对比
订2个手环没有其他优惠了吗,没有其他优惠
我订荣耀手环4,我订荣耀手环4
贴膜是钢化膜吗,贴膜是钢化膜
月光银能送硅胶表带吗,银能送硅胶表带
我可以指定送的表带吗,可以指定表带
上面图片没有硅胶表带,图片没有硅胶表带
好的我要无线充和智能扫地机器人,我要扫地机器人
加赠的我要无线充和智能扫地机器人,我要扫地机器人
手机是原装正品吗,手机是原装正品
想买一台XR128G的有什么优惠吗,想买有什么优惠
好的生活礼包那个我想要无线充电器,我想要无线充电器
我不是老客户吃鸡套装那个也是有的吧,我不是老客户吃鸡
就是说我下单标配也是有这个礼品的是吧,我下单标配也是是
麻烦您看一下订单是苹果XR黑色128G官方标配无需合约版吧礼包1要无线充电器,您看一下订单是1要无线充电器
运输途中不坏就行了,不坏就行了
不需要了谢谢,不需要谢谢
我的意思买了这个是不是还要买连接线,意思买了这个是不是
嗯麻烦发货,嗯麻烦发货
这个手机是双卡的吗,手机是双卡
可以便宜点吗,可以便宜点
UD啥意思,UD啥意思
可以发个视频给我吗,可以发个视频给我
今天发货吗亲,今天发货吗亲
十选一那个选vr眼镜,十选那个选vr眼镜
这个送耳机吗,这个送耳机
你店铺里面有耳机卖吗,里面有耳机卖
那这个手机的耳机孔是什么样的,孔是什么样
为什么模糊,为什么模糊
你好是全国统一价格么,你好是全国统一价格
为什么有的地方卖4198,地方卖4198
664的星云紫有啥优惠,紫有啥优惠
664是移动4g版本啊,664是g版本
不喜欢移动优先级的,不喜欢移动优先级
这个是合约机吗,这个是合约机
还有拍就送扫地机器人吗,还有就送扫地机器人
那下面说备注选,下面说备注选
能不能送一个,能不能送一个
你们有现货,你们有现货
手机坏了帮我联系一下返场,手机坏帮联系一下返场
你好这个手机有问题,手机有问题
怎么不是双摄像头,怎么不是双摄像头
三星9298回收多钱,9298回收多钱
游泳行不行,游泳行不行
现在买这个套餐还有什么送,现在买这个套餐还有什么送
退货了额麻烦你处理一下,退货额麻烦你处理一下
我今年1月在你们家给我妈妈买的一款手机刚用一个星期就出现问题了3月返回你们维修现在手机又充不起电了,给刚用一个星期
这个有现货吗,这个有现货
优惠怎么领,优惠怎么领
满999减50,999减50
惊喜是什么,惊喜是什么
指的是不让用花呗嘛,是不让用花
哪款属于双卡双待的,款属于双待
看来看去就充电宝还能用,看来看去就充电宝还能用
我跟她商量一下看她建议我买哪一款,商量一下看她建议买一款
我很少用蚂蚁花呗所以额度不是太高,花呗额度不是太高
464有么,464有么
昨天降30今天降20,昨天降今天降20
为啥比官网便宜这么多,便宜这么多
我就是好奇咋优惠这么多,我就是好奇
所以问问打消下顾虑,所以问问打消下顾虑
买了碎屏保险屏幕坏了怎么弄,屏幕坏怎么弄
收藏了有什么礼物啊,收藏有什么礼物
碎屏保要带一个吗亲亲,碎屏保要带一个亲亲
64红色Xray,红色Xray
Xrays,Xrays
礼品有什么呀,礼品有什么
我想问下这手机有联保吗,我想问下这手机
麻烦优先发货好吗我们这个群体毕竟不容易啊,优先发货好不容易
明天我是送人的哦亲亲,我是哦亲亲
要优先呀谢谢,优先呀谢谢
我的没有预定期吧,没有预定期
那今天能发吗发顺丰吗,能发吗发顺丰
我本想看看套餐三的结果没有,本想看看结果没有
不用啦希望把我手机尽快发出,不用啦希望尽快发出
7p是全新未拆封的吗,7p是未拆封
还能优惠吗我是老顾客了,优惠吗我是老顾客
xr128g双十二有优惠吗,双十二有优惠
花呗额度不足怎么分期付款,额度不足怎么分期付款
可以补两千的吗,可以补两千吗
小度发货了吗好几天了吧,小度发货吗好几天
机器是国行原装未拆封的吧,机器是未拆封
我是要电信牌,我是要电信牌
华为畅享9plus手机有没有自带手机钱包,华为畅手机有没有自带手机钱包
哦为什么6s不能花呗免分期手续费啊,花呗免分期手续费
我看7倒是可以的,我看倒是可以
6s32g的是今年生产的吗,是今年生产
不开发票能优惠多少,能优惠多少
能信用卡付款吗,信用卡付款
哈哈免费就要,哈哈免费就要
谢谢啦尽量今天发货哦,谢谢今天发货哦
如果可以的话最好是出厂日期是今年的机器,最好是出厂日期是机器
你们店是不是也供货给移动啊,店是不是也供货给移动
机子都是未拆封的哇,都是未拆封哇
套餐8碎屏保服务是多久啊,服务是多久
换的流程是怎么样的呢,流程是怎么样
联系你们然后寄给你们你们检查换了再寄回来,联系然后寄给你们检查
后盖算不算呢,后盖算不算
备注是不是只用写10选2的礼品其他不用写了,是不是只用不用写
嗯嗯好的碎屏一年内只能保一次吗,只能保一次
智能扫地机器人和无线充电器,扫地机器人无线充电器
四川省乐山市,四川省乐山市
好的麻烦了过了明天我就不在这里所以刚才专门问了下快递和仓库情况,麻烦过就不在这里专门问情况
能问问什么时候可以发货吗,能问问可以发货
你们今天要是发不了货我就要改收货地址了,要是发不了货就要改收货地址
三星A6s为什么没有紫色,为什么没有紫色
只能换一家了,只能换一家
你给我一个手机发票是几个意思,是几个意思
官方标配联保一年冯,标配联保年冯
你好我买的东西之前在你发货的时候点了一下退款然后又关闭了退款,你好点一下退款又关闭退款
现在收到货了,现在收到货
我下单抢手机,我下单抢手机
这是不是要无线网络下才能听音乐,才能听音乐
天猫精灵没无线是不能听,精灵没无线是不能听
意思没无线插电可以用,意思没无线插电可以用
怎么连接蓝牙,怎么连接蓝牙
你们家粉金mate20proud版现在有现货吗,现在有现货
视频里面有铃声怎么关闭,里面有铃声怎么关闭
我给别人打电话就有视频铃声啊,打电话就有视频铃声
嗯请尽快发货,嗯请尽快发货
发票可以一起快递过来嘛,一起快递过来
一年可以换几次,可以换几次
没有给具体时间期限吗,没有给时间期限
3元手机壳是什么材质的,手机壳是什么材质
魅阁移动电源是5V2A的吗自带一根数据线吗,电源是V2A吗一根数据线
手机壳还有更贵的吗,手机壳还有更贵
魅阁移动电源是2A的没错吧,电源是没错
可以送我钢化膜吗,可以送钢化膜
我就要5V2A的,我就要2A
不要5V1A,不要5V1A
不要礼包不分期退130,不要礼包分期退130
你好钢化膜回来缺了个角,你好膜回来缺个角
老板我想买个7,我想买个7
买苹果顾及太多还是选你家的吧,买顾及太多还是选你家
你给我说说碎屏险有什么用好吗,说说屏险有什么
那个要什么时候才能退下来,才能退下来
你帮我审核一下,你帮审核一下
好的我要买套餐一所以我选的下面,要买套餐下面
你看看对了没,你看看对了没
两天了都是12号买的别人早发货了,都是12号买早发货
再不搞快退货,再不搞快退货
这个卡我到时候如何用啊,我到时候如何用
暂时不买了吧有问题到时候联系你,不买了有问题到时候联系你
这个不慌我先看看货物再说,先看看货物再说
这个是正品么,这个是正品
我要买手机,我要买手机
小米mix3我想要宝石蓝的,我想要宝石蓝
宝石蓝还有吗我在上面没看到蓝色了只有黑色和绿色呀,宝石蓝还有没看到蓝色
这是要干嘛啊,这是要干嘛
您好确认收货之后什么时候返还优惠啊,您好时候返还优惠
确认收货之后商家返还优惠是什么时候,是什么时候
方糖玩的时候要一直插着电源吗,一直插电源
哦不插电源就不响是吧里面没电池,是里面没电池
那我申请退款你那边处理一下,我申请退款那边处理一下
什么处理器,什么处理器
手机是正品吗,手机是正品
花呗支付三期免息,花呗支付三期免息
我不长用只有500,不长用只有500
现金分三期可以吗,现金分三期可以
这是怎么分期,这是怎么分期
mate20pro极光色8256,光色8256
为什么顺丰快递这么慢买了三四天物流动都不动一下,这么慢都不动一下
我知道发货了但是那个顺丰快递为什么三天都不动一直在一个地方,我知道发货
广东清远发什么快递,清远发什么快递
一元50那优惠券还有没有,优惠券还有没有
手机是不是全新未拆封,手机是不是未拆封
啥时候能发货啊之前问的时候说48小时发货的已经48小时了呀,能发货时候说48小时
这个有卡送吗,这个有卡送
您好请问小米6X的系统是安卓的哪个版本,您好请问系统是哪个版本
成都有仓库吗,成都有仓库
昨天都是5599的啊,都是5599
万能遥控器那个,遥控器那个
天猫精灵保证正品吧,精灵保证正品
还没给我发货,还没给发货
我已经没有耐心了,已经没有耐心
如果没货你就告诉我,如果没货就告诉
是不是手机卖完了没有了,是不是卖完没有
还是不想给我发,还是不想给我发
您好翡翠绿mix3有货吗,您好mix3有货
碎屏险是哪里拍,碎屏险是哪里拍
算了武汉这边有家认识修手机换屏幕的到时候直接去她家好了杭州来武汉3个手机碎了7次屏幕,这边有认识修手机到时候直接家好杭州来武汉手机碎次屏幕
回杭州碎了找你们也行,回碎找你们也行
亲什么手机好小声音最大声了也是,最大声也是
你们这手机卡装哪里,手机卡装哪里
电信为主卡是不是要选公开版,要选公开版
我两张卡电信和移动主用电信,我两张卡电信用电信
极光128,极光128
这款是全网通还是移动版,这款是网通还是移动版
不要分期不要礼品,分期不要礼品
最低1599吗,最低1599
买手机有正规发票吗,买手机有正规发票
不要优惠不分期请改价格,不要优惠分期请改价格
不要礼品部分七是不是应该再减100,七是不是再减100
怎么返返到哪,怎么返返到哪
直接把价格改了不就对了那多麻烦呀,改不就对了
一天一变价格变化太快了,一变价格变化太快
昨天晚上没有拍今天太忙刚想拍又涨价了,没有拍刚想拍
昨天上午优惠100下午优惠50现在又成30了,上午优惠又成30
你们价格这样来回变叫顾客怎么相信呢,这样来回变叫怎么相信
其他商家也没有变化这么多啊这么快啊,这么多这么快
这款有优惠吗,这款有优惠
我问得是不是买手机有送礼物吗,我问是不是买手机
那我备注过了应该有吧,备注过应该有
12选1怎么选,12选1怎么选
我买664G的是不是只能选一个赠品,只能选一个赠品
我要游戏手柄,要游戏手柄
这个华为手机能刷公交卡嘛,能刷公交卡
不要台灯也不要双肩包优惠30元可以么,双肩包优惠30元
还是没电了就正常充,还是没电正常充
地址跟收件人都对就改这个电话就行,就改这个电话就行
会不会绿屏,会不会绿屏
又来你们这买东西了,又来这买东西
这次质量希望好一点别像上次一样送个移动电源还是坏的,质量希望好一点
12选一是傻,12选一是傻
店里有手机壳链接嘛可以给我发一个,店里有手机壳可以给我发一个
可以给我发个链接,可以给我发个链接
可以带图的对吧这边原价下单然后给你备注到时候返差价是吧,可以带图到时候返差价是
好的我把图片发给你然后下单你直接和手机一起寄就可以了,发给你然后下单一起寄就可以
我到时候再买吧,到时候再买
大约充电要多久,大约充电要多久
可以验吗支持退货吗,可以验吗支持退货
荣耀10好还是play好一点,荣耀10好还是play好一点
花呗分期后以后可以一次性提前还款不,一次性提前还款不
可以去官网验的吧不是假的吧原装,可以去官网验吧不是假吧原装
手机收到了可是发现是移动版的没法用,手机收到可是发现是没法用
手机主号是电信的,主号是电信
你好我这个手机到时候保修怎么办,保修怎么办
那个12选一要蓝牙耳机,12选蓝牙耳机
嗯都两天了为什么还没有发货呢,都两天没有发货
这个手机买了一年了但是现在电池出了问题,买了一年电池出问题
苹果哪个玩游戏好,哪个玩游戏好
这个套餐都是什么东西啊我详情页没看到没显示出来吗,都是什么东西没看到没显示出来
双十二过了涨价了之前的价还卖吗,双十二过涨价价
怎么3天都还没出杭州丢件了吗,还没出杭州丢件
亲怎么看激活时间的,亲怎么看激活时间
查看苹果激活时间这个你解答不了吗,你解答不了
几天可以寄到沈阳,可以寄到沈阳
赠送的东西要加湿器,东西要加湿器
这款不是ud版的是不是曲面屏,不是是不是曲面屏
为什么别人比你便宜几百,别人比你便宜几百
别人3188,别人3188
亲预计什么时候可以发货呀,亲预计可以发货
只有我一人说话它能分辨吗,人说话能分辨
前50名有什么东西送的,名有什么东西送
一般在什么时间内才能抢到这个名额呢,才能抢到这个名额
是不是联系你,是不是联系你
我想要那个扫地机器人,我想要扫地机器人
现在拍好就就能送扫地机器人吗,能送扫地机器人
明天我老公生日呢能不能包装好看点,不能包装好看点
这个手表可以用多久,可以用多久
会不会跟手机一样用个两三年就不行了,会不会跟手机用三年就不行
我要机器人,我要机器人
XR是双卡的吗,XR是双卡
是不是有小米可以用阿,是不是有小米可以用阿
那需要连手机吗,那需要连手机
都有什么功能阿,都有什么功能
套餐有什么不一样吗,套餐有什么不一样
都是全网通的吗,都是全网通
购机就有卡还是要备注啥的,就有卡要备注啥
其他的套餐是加上标配的这些吗,套餐是加上标配这些
亲屏幕坏了能换屏吗,亲屏幕坏能换屏
那你帮我看看今天能轮到么,你帮看看能轮到
礼品要耳机哦备注了吧,礼品要耳机备注
我收到货礼品备注写的要天猫精灵可是收到的是手环,我收到是手环
现在下单寄广州多久能收到,下单寄广州能收到
怎么用分期啊我的额度1000不够啊,分期啊1000不够
我钱有就是用点别的用想分期,钱有就是用点
不是说当天发吗,不是说当天发
机子2017年产的,2017年产
机子怎么是2017年产的,怎么是2017年产
为什么我要蓝牙音箱却给个杯我,却给个杯我
这个是激活日对吗,这个是激活日对
为什么还没到赣州哦,还没到赣州哦
我要明天收到货,明天收到货
套餐不一样有什么区别呢,一样有什么区别
免费保一次吧,免费保一次
你不是说免费一次吗,不是说免费一次
手机壳定制是什么样的,定制是什么样
可以定什么图,可以定什么图
可以帮忙搞个龙马的图片吗,可以帮忙图片
手机送到武汉要多长时间,手机送到武汉要多长时间
无线充和双肩包,无线充和双肩包
你好现在可以返我80了吗,可以返我80
这个是移动定制版吗,这个是定制版
画面本来是彩色的,本来是彩色
怎么变成黑色,怎么变成黑色
你的电话号码多少,电话号码多少
我想在电话说这样好一点,我想说这样好一点
本来我想一陪手机的,我想一陪手机
能不能帮我想哈办法嘛,能不能帮想哈办法
8p三期付款没有利息吗,付款没有利息
差个4000吧,个4000
分期买咋买,分期买咋买
那不是没有双手柄,那不是没有双手柄
你们这是全新正品吗,这是全新正品
可以选几个呢,可以选几个
我刚付款了可以贴上钢化膜吗,刚付款可以贴上钢化膜
那可以送耳机吗原装的,可以送耳机
礼品可以送多少样,可以送多少样
那就送魅阁蓝牙耳机,就送蓝牙耳机
好的今天可以发货不,可以发货不
那里拍怎样拍,那里拍怎样拍
拍照发过来吗,拍照发过来
你们不是包赔了吗,你们不是包赔
那送一个荣耀AM115耳机吧谢谢,那送AM115耳机吧谢谢
只能送一个,只能送一个
只能送一个的话就改换送一个荣耀AM115耳机吧,只能送一个就改换送AM115耳机
盒子里应该有这个手机的充电器和数据线吧,应该有充电器
是不是只能送一个礼品,是不是只能送一个礼品
好的麻烦你联系一下运输过程中多注意一下,麻烦你联系一下
你可以联系一下尽量发货谢谢,可以联系一下尽量发货谢谢
你们尽量多留心点好不容易挣钱来就是买个好一点的手机便于学习使用,多留心点好不容易挣钱来就是买手机
我想买个xr手机,我想买xr手机
老客户还有啥礼品呀,老客户还有啥礼品
徐延茹同学哈哈哈,同学哈哈哈
无线充电器和蓝牙音箱哈,无线充电器和蓝牙音箱哈
那个100免流量卡是咋回事呀,卡是咋回事
保价多长时间呢,保价多长时间
公司周五搬地址了我没记住公司房间号,周五搬地址没记住房间号
那我拍了到楼层让快递联系呗,我拍让联系呗
亲这款可以上qq么,可以上qq
我买了不会给我寄别人退过的毛病手机吧,我买了寄毛病手机
主要是看到一条说标配的耳机你们都没给,主要是看到一条说标配都没给
现在买还能给双十二的优惠吗,现在买优惠
这款手机可以分期付款吗,可以分期付款
这是双十二价格吗,这是十二价格
能不能送个好看的外壳,能不能送外壳
那就吃鸡套装吧,就吃鸡套装
尽量给我安排发货我急着用,安排发货我急用
你好双12买了6sp老婆不想用我想退掉麻烦你了,你好12买sp老婆想退掉麻烦你
还没有拆封塑料膜没有撕,没有拆封没有撕
关于手机质量的问题帮我转售后,问题帮转售后
XR128G多少钱,XR128G多少钱
不是说咨询可减150吗,不是说可减150
能不能送数据线,能不能送数据线
老客户有送撒,老客户有送撒
没有送一个吧,没有送一个
是不是有定制手机壳,是不是有定制手机壳
不分期可以优惠撒,可以优惠撒
